"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp_new\htdocs\www\blog-classic-fullwidth.html", "HTML", 862, 0, 0, 0, 0, 118, 177, 1157
"c:\xampp_new\htdocs\www\blog-classic-sidebar-left.html", "HTML", 1012, 0, 0, 0, 0, 129, 205, 1346
"c:\xampp_new\htdocs\www\blog-classic-sidebar-right.html", "HTML", 1012, 0, 0, 0, 0, 129, 204, 1345
"c:\xampp_new\htdocs\www\blog-columns-2col.html", "HTML", 1107, 0, 0, 0, 0, 120, 258, 1485
"c:\xampp_new\htdocs\www\blog-columns-3col.html", "HTML", 1058, 0, 0, 0, 0, 120, 268, 1446
"c:\xampp_new\htdocs\www\blog-columns-4col.html", "HTML", 1058, 0, 0, 0, 0, 120, 268, 1446
"c:\xampp_new\htdocs\www\blog-masonry-2col.html", "HTML", 1107, 0, 0, 0, 0, 120, 258, 1485
"c:\xampp_new\htdocs\www\blog-masonry-3col.html", "HTML", 1058, 0, 0, 0, 0, 120, 268, 1446
"c:\xampp_new\htdocs\www\blog-masonry-4col.html", "HTML", 1058, 0, 0, 0, 0, 120, 268, 1446
"c:\xampp_new\htdocs\www\blog-single-fullwidth.html", "HTML", 873, 0, 0, 0, 0, 105, 204, 1182
"c:\xampp_new\htdocs\www\blog-single-sidebar-left.html", "HTML", 1028, 0, 0, 0, 0, 121, 234, 1383
"c:\xampp_new\htdocs\www\blog-single-sidebar-right.html", "HTML", 1028, 0, 0, 0, 0, 121, 233, 1382
"c:\xampp_new\htdocs\www\contact_me.php", "PHP", 0, 52, 0, 0, 0, 6, 11, 69
"c:\xampp_new\htdocs\www\contact_me_smtp.php", "PHP", 0, 70, 0, 0, 0, 5, 23, 98
"c:\xampp_new\htdocs\www\contact_reservations.php", "PHP", 0, 47, 0, 0, 0, 6, 12, 65
"c:\xampp_new\htdocs\www\contact_reservations_smtp.php", "PHP", 0, 66, 0, 0, 0, 5, 22, 93
"c:\xampp_new\htdocs\www\css\YTPlayer.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp_new\htdocs\www\css\animate.min.css", "CSS", 0, 0, 0, 0, 2, 4, 0, 6
"c:\xampp_new\htdocs\www\css\bootstrap-rtl.min.css", "CSS", 0, 0, 0, 0, 1, 7, 1, 9
"c:\xampp_new\htdocs\www\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 5, 0, 7
"c:\xampp_new\htdocs\www\css\et-line.css", "CSS", 0, 0, 0, 0, 334, 7, 3, 344
"c:\xampp_new\htdocs\www\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 3, 1, 5
