Date : 2022-01-06 10:04:09
Directory : c:\xampp_new\htdocs\www
Total : 270 files,  195118 codes, 28085 comments, 43323 blanks, all 266526 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        207 |    171,429 |     23,844 |     39,061 |    234,334 |
| CSS        |         16 |      9,769 |        675 |      1,497 |     11,941 |
| JavaScript |         38 |      6,283 |      1,110 |      2,185 |      9,578 |
| XML        |          3 |      3,939 |          0 |          1 |      3,940 |
| PHP        |          6 |      3,698 |      2,456 |        579 |      6,733 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |        270 |    195,118 |     28,085 |     43,323 |    266,526 |
| css                                                                      |         14 |      7,496 |        451 |        855 |      8,802 |
| fonts                                                                    |          2 |      3,885 |          0 |          1 |      3,886 |
| js                                                                       |         34 |      2,146 |        423 |        538 |      3,107 |
| php                                                                      |          2 |      3,463 |      2,434 |        511 |      6,408 |
| rs-plugin                                                                |          7 |      6,464 |        911 |      2,289 |      9,664 |
| rs-plugin\css                                                            |          2 |      2,273 |        224 |        642 |      3,139 |
| rs-plugin\font                                                           |          1 |         54 |          0 |          0 |         54 |
| rs-plugin\js                                                             |          4 |      4,137 |        687 |      1,647 |      6,471 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                 | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp_new\htdocs\www\blog-classic-fullwidth.html                      | HTML       |        862 |        118 |        177 |      1,157 |
| c:\xampp_new\htdocs\www\blog-classic-sidebar-left.html                   | HTML       |      1,012 |        129 |        205 |      1,346 |
| c:\xampp_new\htdocs\www\blog-classic-sidebar-right.html                  | HTML       |      1,012 |        129 |        204 |      1,345 |
| c:\xampp_new\htdocs\www\blog-columns-2col.html                           | HTML       |      1,107 |        120 |        258 |      1,485 |
| c:\xampp_new\htdocs\www\blog-columns-3col.html                           | HTML       |      1,058 |        120 |        268 |      1,446 |
| c:\xampp_new\htdocs\www\blog-columns-4col.html                           | HTML       |      1,058 |        120 |        268 |      1,446 |
| c:\xampp_new\htdocs\www\blog-masonry-2col.html                           | HTML       |      1,107 |        120 |        258 |      1,485 |
| c:\xampp_new\htdocs\www\blog-masonry-3col.html                           | HTML       |      1,058 |        120 |        268 |      1,446 |
| c:\xampp_new\htdocs\www\blog-masonry-4col.html                           | HTML       |      1,058 |        120 |        268 |      1,446 |
| c:\xampp_new\htdocs\www\blog-single-fullwidth.html                       | HTML       |        873 |        105 |        204 |      1,182 |
| c:\xampp_new\htdocs\www\blog-single-sidebar-left.html                    | HTML       |      1,028 |        121 |        234 |      1,383 |
| c:\xampp_new\htdocs\www\blog-single-sidebar-right.html                   | HTML       |      1,028 |        121 |        233 |      1,382 |
| c:\xampp_new\htdocs\www\contact_me.php                                   | PHP        |         52 |          6 |         11 |         69 |
| c:\xampp_new\htdocs\www\contact_me_smtp.php                              | PHP        |         70 |          5 |         23 |         98 |
| c:\xampp_new\htdocs\www\contact_reservations.php                         | PHP        |         47 |          6 |         12 |         65 |
| c:\xampp_new\htdocs\www\contact_reservations_smtp.php                    | PHP        |         66 |          5 |         22 |         93 |
| c:\xampp_new\htdocs\www\css\YTPlayer.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\css\animate.min.css                              | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp_new\htdocs\www\css\bootstrap-rtl.min.css                        | CSS        |          1 |          7 |          1 |          9 |
| c:\xampp_new\htdocs\www\css\bootstrap.min.css                            | CSS        |          2 |          5 |          0 |          7 |
| c:\xampp_new\htdocs\www\css\et-line.css                                  | CSS        |        334 |          7 |          3 |        344 |
| c:\xampp_new\htdocs\www\css\font-awesome.min.css                         | CSS        |          1 |          3 |          1 |          5 |
| c:\xampp_new\htdocs\www\css\magnific-popup.css                           | CSS        |        330 |          6 |         39 |        375 |
| c:\xampp_new\htdocs\www\css\owl.carousel.css                             | CSS        |        208 |         18 |          9 |        235 |
| c:\xampp_new\htdocs\www\css\owl.transitions.css                          | CSS        |        149 |         10 |          4 |        163 |
| c:\xampp_new\htdocs\www\css\rev-slider.css                               | CSS        |         28 |         15 |         11 |         54 |
| c:\xampp_new\htdocs\www\css\simpletextrotator.css                        | CSS        |         92 |          0 |         14 |        106 |
| c:\xampp_new\htdocs\www\css\style-responsive.css                         | CSS        |        691 |         46 |        135 |        872 |
| c:\xampp_new\htdocs\www\css\style.css                                    | CSS        |      5,656 |        330 |        638 |      6,624 |
| c:\xampp_new\htdocs\www\css\vertical-rhythm.min.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\elements-accordions.html                         | HTML       |        767 |         86 |        150 |      1,003 |
| c:\xampp_new\htdocs\www\elements-bars.html                               | HTML       |        774 |        104 |        163 |      1,041 |
| c:\xampp_new\htdocs\www\elements-buttons.html                            | HTML       |        976 |        112 |        263 |      1,351 |
| c:\xampp_new\htdocs\www\elements-features.html                           | HTML       |        930 |        132 |        179 |      1,241 |
| c:\xampp_new\htdocs\www\elements-forms.html                              | HTML       |        879 |        123 |        212 |      1,214 |
| c:\xampp_new\htdocs\www\elements-grid.html                               | HTML       |        783 |         98 |        189 |      1,070 |
| c:\xampp_new\htdocs\www\elements-header-dark-transparent.html            | HTML       |        733 |         78 |        141 |        952 |
| c:\xampp_new\htdocs\www\elements-header-dark.html                        | HTML       |        729 |         76 |        139 |        944 |
