"filename", "language", "PHP", "Markdown", "XML", "Django HTML", "CSS", "JavaScript", "Django txt", "Python", "SQL", "YAML", "JSON", "comment", "blank", "total"
"c:\xampp_new\htdocs\apps\index.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 239
"c:\xampp_new\htdocs\apps\lmao_xd\index.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 74
"c:\xampp_new\htdocs\apps\urban_dict\index.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 100
"c:\xampp_new\htdocs\blogs\date.xml", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\xampp_new\htdocs\blogs\index.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp_new\htdocs\database\discography.xml", "XML", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\xampp_new\htdocs\database\links.xml", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\xampp_new\htdocs\database\testimonials.xml", "XML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"c:\xampp_new\htdocs\includes\foot.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 98
"c:\xampp_new\htdocs\includes\head.php", "PHP", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 181
"c:\xampp_new\htdocs\includes\livesearch.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 45
"c:\xampp_new\htdocs\index.php", "PHP", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 274
"c:\xampp_new\htdocs\music\albums\index.php", "PHP", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56, 224
"c:\xampp_new\htdocs\music\discography\index.php", "PHP", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56, 230
"c:\xampp_new\htdocs\music\index.php", "PHP", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 320
"c:\xampp_new\htdocs\music\singles\melancholy\index.php", "PHP", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 292
"c:\xampp_new\htdocs\notes.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 127
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-30-02\details.md", "Markdown", 0, 2386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2392
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-30-02\results.md", "Markdown", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 248
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-30-02\results.txt", "Django txt", 0, 0, 0, 0, 0, 0, 2625, 0, 0, 0, 0, 0, 3, 2628
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-32-51\details.md", "Markdown", 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 469
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-32-51\results.md", "Markdown", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 137
"c:\xampp_new\htdocs\old\.VSCodeCounter\2021-11-03_17-32-51\results.txt", "Django txt", 0, 0, 0, 0, 0, 0, 591, 0, 0, 0, 0, 0, 3, 594
"c:\xampp_new\htdocs\old\404.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 89
"c:\xampp_new\htdocs\old\admin\adminer\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\xampp_new\htdocs\old\admin\adminer\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\xampp_new\htdocs\old\admin\adminer\adminer.css", "CSS", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 22, 21, 109
"c:\xampp_new\htdocs\old\admin\adminer\adminer\call.inc.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 91
"c:\xampp_new\htdocs\old\admin\adminer\adminer\create.inc.php", "PHP", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 224
"c:\xampp_new\htdocs\old\admin\adminer\adminer\database.inc.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 81
"c:\xampp_new\htdocs\old\admin\adminer\adminer\db.inc.php", "PHP", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 238
"c:\xampp_new\htdocs\old\admin\adminer\adminer\designs.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 15
"c:\xampp_new\htdocs\old\admin\adminer\adminer\download.inc.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\clickhouse.inc.php", "PHP", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 393
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\elastic.inc.php", "PHP", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 52, 466
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\firebird.inc.php", "PHP", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 50, 321
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\mongo.inc.php", "PHP", 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78, 733
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\mssql.inc.php", "PHP", 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 94, 674
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\mysql.inc.php", "PHP", 740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 101, 1145
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\oracle.inc.php", "PHP", 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68, 434
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\pgsql.inc.php", "PHP", 746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 116, 877
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\simpledb.inc.php", "PHP", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64, 485
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\sqlite.inc.php", "PHP", 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99, 804
"c:\xampp_new\htdocs\old\admin\adminer\adminer\dump.inc.php", "PHP", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 225
"c:\xampp_new\htdocs\old\admin\adminer\adminer\edit.inc.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 118
"c:\xampp_new\htdocs\old\admin\adminer\adminer\event.inc.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\xampp_new\htdocs\old\admin\adminer\adminer\file.inc.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"c:\xampp_new\htdocs\old\admin\adminer\adminer\foreign.inc.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\adminer.inc.php", "PHP", 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 69, 1059
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\auth.inc.php", "PHP", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 210
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\bootstrap.inc.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 108
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\connect.inc.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\coverage.inc.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\design.inc.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 196
